SIRET,Délai d'attribution moyen,,,,,
200043396,10.6,,,,,
200043404,7.9,,,,,
200043438,5.3,,,,,
200043495,6.1,,,,,
200043602,17.1,,,,,
200043628,12.3,,,,,
200043693,10.3,,,,,
200043776,9.3,,,,,
200043974,19.4,,,,,
200043982,10.3,,,,,
200043990,15.4,,,,,
200044014,5.8,,,,,
200044030,13.2,,,,,
200044048,10.7,,,,,
200044253,4.5,,,,,
200044394,14.7,,,,,
200044469,16.8,,,,,
200044618,14.5,,,,,
200044691,12.8,,,,,
200046977,25.2,,,,,
200048551,8.2,,,,,
200049187,8.4,,,,,
200049211,7.9,,,,,
200049484,2.7,,,,,
200050532,17.2,,,,,
200054807,26.2,,,,,
200055481,9.1,,,,,
200055655,38.3,,,,,
200055887,10.6,,,,,
200056232,34.2,,,,,
200056380,40.6,,,,,
200057859,31.1,,,,,
200057867,45.2,,,,,
200057875,48.1,,,,,
200057941,42.4,,,,,
200057958,38.7,,,,,
200057966,40.9,,,,,
200057974,40.9,,,,,
200057982,41.3,,,,,
200057990,47.1,,,,,
200058006,41.6,,,,,
200058014,43.5,,,,,
200058097,39.7,,,,,
200058360,9.1,,,,,
200058477,32.4,,,,,
200058485,39.5,,,,,
200058519,34.9,,,,,
200058782,32.6,,,,,
200058790,40.8,,,,,
200059228,31.2,,,,,
200059392,10.2,,,,,
200059400,7.6,,,,,
200059871,16.5,,,,,
200059889,31.5,,,,,
200060010,13.8,,,,,
200060457,16.6,,,,,
200060465,19.0,,,,,
200060473,15.1,,,,,
200065563,18.8,,,,,
200065589,18.4,,,,,
200065597,19.2,,,,,
200065647,5.9,,,,,
200065787,8.9,,,,,
200065886,6.2,,,,,
200065894,6.5,,,,,
200065928,15.1,,,,,
200066009,9.5,,,,,
200066017,8.9,,,,,
200066025,7.0,,,,,
200066033,5.7,,,,,
200066041,8.0,,,,,
200066058,10.7,,,,,
200066108,3.5,,,,,
200066116,5.7,,,,,
200066124,10.9,,,,,
200066132,10.9,,,,,
200066140,5.8,,,,,
200066157,5.8,,,,,
200066165,10.3,,,,,
200066173,7.6,,,,,
200066223,1.9,,,,,
200066231,10.1,,,,,
200066280,7.2,,,,,
200066322,8.9,,,,,
200066330,7.0,,,,,
200066348,10.2,,,,,
200066355,22.3,,,,,
200066363,7.1,,,,,
200066371,9.2,,,,,
200066389,12.3,,,,,
200066405,9.1,,,,,
200066413,8.3,,,,,
200066462,7.3,,,,,
200066512,4.3,,,,,
200066520,5.0,,,,,
200066553,8.1,,,,,
200066561,6.0,,,,,
200066587,6.5,,,,,
200066603,3.1,,,,,
200066637,3.4,,,,,
200066645,4.0,,,,,
200066652,11.0,,,,,
200066660,4.5,,,,,
200066678,4.0,,,,,
200066710,9.9,,,,,
200066728,15.7,,,,,
200066744,8.2,,,,,
200066751,4.0,,,,,
200066769,6.6,,,,,
200066777,15.8,,,,,
200066785,14.1,,,,,
200066793,23.5,,,,,
200066801,11.0,,,,,
200066819,13.0,,,,,
200066827,13.4,,,,,
200066835,6.5,,,,,
200066850,5.2,,,,,
200066868,11.6,,,,,
200066876,5.7,,,,,
200066884,11.9,,,,,
200066892,4.5,,,,,
200066918,10.0,,,,,
200066926,10.8,,,,,
200066975,12.6,,,,,
200067023,10.2,,,,,
200067031,15.2,,,,,
200067049,3.4,,,,,
200067064,4.4,,,,,
200067072,16.6,,,,,
200067080,9.2,,,,,
200067106,27.1,,,,,
200067114,9.8,,,,,
200067122,14.4,,,,,
200067130,5.3,,,,,
200067155,3.0,,,,,
200067163,1.4,,,,,
200067171,2.8,,,,,
200067189,4.7,,,,,
200067197,11.7,,,,,
200067205,10.5,,,,,
200067213,9.3,,,,,
200067239,9.4,,,,,
200067247,8.2,,,,,
200067254,14.1,,,,,
200067262,10.2,,,,,
200067288,9.0,,,,,
200067296,12.9,,,,,
200067304,6.3,,,,,
200067320,16.0,,,,,
200067346,27.9,,,,,
200067361,6.5,,,,,
200067379,5.7,,,,,
200067429,2.7,,,,,
200067437,9.0,,,,,
200067445,7.0,,,,,
200067452,10.6,,,,,
200067460,16.0,,,,,
200067478,8.7,,,,,
200067486,5.6,,,,,
200067502,6.8,,,,,
200067544,4.1,,,,,
200067551,15.6,,,,,
200067593,5.3,,,,,
200067627,4.8,,,,,
200067635,18.1,,,,,
200067643,6.9,,,,,
200067650,9.5,,,,,
200067668,5.5,,,,,
200067676,5.6,,,,,
200067684,7.3,,,,,
200067692,1.3,,,,,
200067700,3.7,,,,,
200067742,8.4,,,,,
200067759,3.2,,,,,
200067767,8.2,,,,,
200067783,11.1,,,,,
200067791,10.5,,,,,
200067817,10.5,,,,,
200067825,12.1,,,,,
200067841,7.0,,,,,
200067866,22.4,,,,,
200067874,13.1,,,,,
200067882,3.7,,,,,
200067890,1.9,,,,,
200067908,3.1,,,,,
200067916,3.5,,,,,
200067924,11.4,,,,,
200067932,19.1,,,,,
200067940,9.6,,,,,
200067957,3.9,,,,,
200067965,12.8,,,,,
200067973,13.4,,,,,
200067981,14.4,,,,,
200067999,16.4,,,,,
200068005,9.0,,,,,
200068047,21.4,,,,,
200068070,6.2,,,,,
200068088,4.3,,,,,
200068096,5.6,,,,,
200068104,27.8,,,,,
200068112,15.0,,,,,
200068120,17.2,,,,,
200068146,6.4,,,,,
200068229,11.9,,,,,
200068278,7.0,,,,,
200068294,3.3,,,,,
200068369,3.9,,,,,
200068377,6.1,,,,,
200068435,5.5,,,,,
200068443,7.6,,,,,
200068450,6.8,,,,,
200068468,7.6,,,,,
200068484,7.3,,,,,
200068500,10.7,,,,,
200068534,7.1,,,,,
200068542,9.2,,,,,
200068559,5.0,,,,,
200068567,9.0,,,,,
200068625,4.9,,,,,
200068641,14.2,,,,,
200068658,4.9,,,,,
200068666,4.0,,,,,
200068674,16.3,,,,,
200068682,6.8,,,,,
200068757,6.8,,,,,
200068765,9.3,,,,,
200068773,3.1,,,,,
200068781,12.4,,,,,
200068799,8.0,,,,,
200068807,16.8,,,,,
200068815,12.2,,,,,
200068831,5.0,,,,,
200068856,8.8,,,,,
200068864,12.7,,,,,
200068872,4.2,,,,,
200068880,4.0,,,,,
200068914,11.7,,,,,
200068922,3.8,,,,,
200068930,7.0,,,,,
200068948,1.6,,,,,
200068955,15.5,,,,,
200068963,12.5,,,,,
200068989,17.1,,,,,
200068997,6.9,,,,,
200069003,5.0,,,,,
200069029,16.2,,,,,
200069037,12.4,,,,,
200069052,5.6,,,,,
200069060,6.9,,,,,
200069086,14.9,,,,,
200069094,14.9,,,,,
200069102,6.7,,,,,
200069110,16.8,,,,,
200069128,10.1,,,,,
200069136,3.7,,,,,
200069144,6.3,,,,,
200069151,7.8,,,,,
200069169,7.3,,,,,
200069177,6.7,,,,,
200069185,5.6,,,,,
200069193,7.3,,,,,
200069227,6.1,,,,,
200069235,13.2,,,,,
200069250,5.4,,,,,
200069268,5.1,,,,,
200069300,7.4,,,,,
200069383,9.5,,,,,
200069391,18.5,,,,,
200069409,17.5,,,,,
200069417,12.0,,,,,
200069425,11.3,,,,,
200069433,6.2,,,,,
200069441,3.9,,,,,
200069458,5.5,,,,,
200069482,7.3,,,,,
200069516,9.6,,,,,
200069524,11.4,,,,,
