SIRET,Délai d'attribution moyen,,,,,
246000913,9.4,,,,,
246000921,14.0,,,,,
246100390,4.5,,,,,
246100663,8.0,,,,,
246200299,15.0,,,,,
246200364,15.1,,,,,
246200380,19.1,,,,,
246200729,12.0,,,,,
246200844,11.1,,,,,
246201016,10.7,,,,,
246300701,10.0,,,,,
246300966,4.1,,,,,
246301097,8.2,,,,,
246400337,8.4,,,,,
246401756,10.8,,,,,
246500482,5.1,,,,,
246500573,5.8,,,,,
246600282,17.0,,,,,
246600373,11.6,,,,,
246600399,8.4,,,,,
246600415,15.2,,,,,
246600423,4.4,,,,,
246600449,14.2,,,,,
246600464,6.3,,,,,
246600548,6.2,,,,,
246700306,9.8,,,,,
246700488,24.4,,,,,
246700744,8.9,,,,,
246700777,6.8,,,,,
246700843,21.0,,,,,
246700926,12.1,,,,,
246700959,14.1,,,,,
246700967,10.5,,,,,
246701064,11.9,,,,,
246701080,13.7,,,,,
246701098,12.0,,,,,
246800205,3.7,,,,,
246800395,6.3,,,,,
246800445,5.9,,,,,
246800494,8.0,,,,,
246800551,6.9,,,,,
246800569,6.6,,,,,
246800577,7.6,,,,,
246800585,8.4,,,,,
246800676,5.8,,,,,
246800726,8.8,,,,,
246900575,23.9,,,,,
246900625,11.2,,,,,
246900724,13.7,,,,,
246900740,18.0,,,,,
246900757,19.1,,,,,
246900765,22.6,,,,,
247000011,9.0,,,,,
247000367,6.1,,,,,
247000623,5.2,,,,,
247000664,7.0,,,,,
247000698,3.0,,,,,
247000706,7.9,,,,,
247000714,3.4,,,,,
247000722,4.7,,,,,
247000755,5.7,,,,,
247000821,4.4,,,,,
247000854,2.7,,,,,
247100290,4.8,,,,,
247100589,6.8,,,,,
247100639,2.2,,,,,
247100647,4.8,,,,,
247103765,5.7,,,,,
247103864,2.2,,,,,
247104094,6.2,,,,,
247200090,11.8,,,,,
247200132,11.6,,,,,
247200348,8.3,,,,,
247200421,9.3,,,,,
247200447,15.6,,,,,
247200629,11.8,,,,,
247200686,10.4,,,,,
247300015,4.9,,,,,
247300254,9.0,,,,,
247300262,9.9,,,,,
247300361,4.1,,,,,
247300452,6.1,,,,,
247300528,8.8,,,,,
247300668,6.7,,,,,
247300676,6.8,,,,,
247300817,7.1,,,,,
247400047,8.3,,,,,
247400112,15.5,,,,,
247400567,15.6,,,,,
247400583,17.1,,,,,
247400617,13.4,,,,,
247400666,13.3,,,,,
247400682,8.3,,,,,
247400690,16.7,,,,,
247400724,18.3,,,,,
247400740,17.8,,,,,
247400773,13.8,,,,,
247600505,11.8,,,,,
247600588,14.2,,,,,
247600604,23.7,,,,,
247600620,11.7,,,,,
247600646,10.0,,,,,
247600729,16.5,,,,,
247600786,13.7,,,,,
247700032,20.1,,,,,
247700057,28.9,,,,,
247700065,27.9,,,,,
247700107,22.0,,,,,
247700339,41.3,,,,,
247700594,38.1,,,,,
247700644,33.3,,,,,
247700701,31.7,,,,,
247800550,26.2,,,,,
247800584,29.4,,,,,
247800618,29.5,,,,,
247900798,12.1,,,,,
248000499,12.0,,,,,
248000531,13.8,,,,,
248000747,11.6,,,,,
248100158,9.2,,,,,
248100430,8.4,,,,,
248100497,17.1,,,,,
248100737,10.7,,,,,
248100745,2.6,,,,,
248200016,6.7,,,,,
248200057,12.3,,,,,
248200065,3.6,,,,,
248200099,13.6,,,,,
248200107,4.3,,,,,
248300394,24.4,,,,,
248300410,30.5,,,,,
248300493,15.3,,,,,
248300543,24.3,,,,,
248300550,19.1,,,,,
248400053,10.7,,,,,
248400160,8.6,,,,,
248400236,9.2,,,,,
248400251,12.7,,,,,
248400285,28.7,,,,,
248400293,14.9,,,,,
248400319,13.4,,,,,
248400335,11.7,,,,,
248500191,21.2,,,,,
248500258,15.7,,,,,
248500340,14.1,,,,,
248500415,9.4,,,,,
248500464,13.9,,,,,
248500530,11.3,,,,,
248500563,18.4,,,,,
248500589,20.0,,,,,
248500621,16.5,,,,,
248500662,11.7,,,,,
248600413,11.3,,,,,
248600447,6.6,,,,,
248700189,4.8,,,,,
248719262,4.0,,,,,
248719288,6.7,,,,,
248719312,9.3,,,,,
248719338,4.4,,,,,
248719353,6.5,,,,,
248719361,3.4,,,,,
248900334,9.7,,,,,
248900383,7.9,,,,,
248900524,12.7,,,,,
248900664,6.1,,,,,
248900748,7.0,,,,,
248900896,7.3,,,,,
248900938,6.2,,,,,
249000241,3.9,,,,,
249100074,26.4,,,,,
249100157,19.1,,,,,
249100546,25.1,,,,,
249100553,35.3,,,,,
249100595,35.0,,,,,
249500109,41.6,,,,,
249500430,32.2,,,,,
249500455,30.8,,,,,
249500489,40.1,,,,,
249500513,22.9,,,,,
249710047,8.9,,,,,
249710062,12.2,,,,,
249710070,9.6,,,,,
249720053,19.6,,,,,
249720061,19.7,,,,,
249730037,21.7,,,,,
249730045,18.9,,,,,
249730052,6.5,,,,,
249740077,20.2,,,,,
249740085,16.1,,,,,
249740093,16.5,,,,,
249740101,23.0,,,,,
249740119,18.0,,,,,
