,codgeo,taux_accueil_collectif,taux_accueil_individuel,taux_accueil_total,annee
4075,95476,25.5,27.6,53.5,2022
4076,95539,16.3,24.7,41.0,2022
4077,95555,17.7,21.8,39.5,2022
4078,95563,20.2,30.8,51.0,2022
4079,95572,21.7,19.7,43.7,2022
4080,95582,21.9,31.7,53.5,2022
4081,95607,17.9,34.6,52.5,2022
4082,95637,18.8,31.5,50.3,2022
4083,97101,25.7,18.0,51.0,2022
4084,97115,12.0,18.3,36.4,2022
4085,97120,35.6,8.6,55.4,2022
4086,97124,22.3,18.3,49.8,2022
4087,97221,3.4,17.1,46.0,2022
4088,97222,39.4,11.6,60.4,2022
4089,97228,23.4,10.7,45.6,2022
4090,97229,35.8,15.5,60.5,2022
4091,97307,15.3,2.2,17.5,2022
4092,97309,21.7,9.0,30.7,2022
4093,97402,21.2,11.1,40.4,2022
4094,97407,25.0,8.1,36.5,2022
4095,97408,28.4,13.3,43.4,2022
4096,97411,31.2,6.7,42.3,2022
4097,97412,20.3,9.1,30.8,2022
4098,97420,29.9,11.1,41.1,2022
5558,01283,9.1,19.6,39.6,2022
5559,01354,15.4,15.4,30.9,2022
5560,02408,17.3,31.8,52.9,2022
5561,03095,7.2,40.3,55.0,2022
5562,03185,15.8,39.5,62.1,2022
5563,03190,24.5,31.6,67.6,2022
5564,03310,32.9,35.5,78.6,2022
5565,04070,29.8,29.3,62.8,2022
5566,05023,36.9,19.1,58.4,2022
5567,06069,26.5,23.8,50.6,2022
5568,06152,61.9,45.0,106.9,2022
5569,06161,29.2,27.2,56.4,2022
5570,07010,42.9,19.3,71.9,2022
5571,07019,30.2,25.7,67.9,2022
5572,08105,30.4,18.4,59.4,2022
5573,10081,13.4,17.6,42.8,2022
5574,10362,14.6,41.7,57.9,2022
5575,12202,46.3,32.3,88.7,2022
5576,13002,36.9,31.7,68.8,2022
5577,13027,13.7,27.8,41.6,2022
5578,13039,32.9,19.9,52.8,2022
5579,13041,18.9,24.7,45.7,2022
5580,13056,32.0,10.8,44.7,2022
5581,13069,24.6,40.0,65.5,2022
5582,13075,40.5,26.4,67.2,2022
5583,13081,23.0,35.7,58.7,2022
5584,13097,29.7,37.6,67.1,2022
5585,13108,15.7,8.2,25.3,2022
5586,13201,21.1,9.1,31.2,2022
5587,13202,42.4,7.6,53.7,2022
5588,13210,18.6,14.8,34.4,2022
5589,13211,27.8,16.9,46.4,2022
5590,13213,23.6,11.2,40.8,2022
5591,14341,18.1,54.6,72.7,2022
5592,14366,14.9,43.6,64.6,2022
5593,15014,36.3,40.9,85.9,2022
5594,16015,30.4,19.6,54.7,2022
5595,17300,32.5,34.3,70.3,2022
5596,19272,42.9,26.2,81.1,2022
5597,2A004,20.8,9.2,30.8,2022
5598,2A247,31.2,12.4,45.4,2022
5599,2B033,24.2,9.2,35.5,2022
5600,21166,20.4,22.6,54.7,2022
5601,22050,26.5,30.2,66.8,2022
5602,24037,27.1,28.1,65.3,2022
5603,25388,18.9,14.4,41.2,2022
5604,26058,16.2,37.3,53.7,2022
5605,26235,15.9,30.7,50.8,2022
5606,27681,28.4,31.1,59.5,2022
5607,28085,37.2,32.9,72.6,2022
5608,28088,18.2,28.4,56.0,2022
5609,28134,23.0,15.1,40.3,2022
5610,28229,19.8,27.9,55.6,2022
5611,28404,20.7,26.4,48.8,2022
5612,29019,27.9,36.1,73.5,2022
5613,29103,14.1,64.0,92.0,2022
5614,30028,21.6,15.2,38.7,2022
5615,30032,22.3,19.0,44.9,2022
5616,30189,23.9,14.1,40.7,2022
5617,30341,15.8,32.7,63.7,2022
5618,31113,27.2,35.0,62.4,2022
5619,31149,26.1,24.4,50.5,2022
5620,31157,29.7,29.4,59.1,2022
5621,31187,21.9,51.3,73.5,2022
5622,31446,43.4,24.2,67.7,2022
5623,31483,35.0,22.4,62.0,2022
5624,31506,35.9,42.9,78.8,2022
5625,32013,30.4,32.8,73.1,2022
5626,33009,72.2,21.6,100.0,2022
5627,33167,20.7,39.1,63.7,2022
5628,33192,33.2,29.8,64.8,2022
5629,33238,17.0,53.9,70.8,2022
5630,33318,32.9,43.3,77.5,2022
5631,34032,12.7,14.2,30.1,2022
5632,34145,9.4,23.3,35.5,2022
5633,34154,48.1,55.9,105.6,2022
5634,34270,27.8,42.4,70.2,2022
5635,34337,33.0,32.6,65.6,2022
5636,35051,73.6,46.4,125.1,2022
5637,35238,33.2,30.6,74.3,2022
5638,37122,19.6,41.6,63.8,2022
5639,38053,13.0,29.4,44.3,2022
5640,38193,20.4,30.4,50.8,2022
5641,38421,24.2,33.2,58.2,2022
5642,38485,33.5,43.5,77.3,2022
5643,38553,20.5,25.1,48.5,2022
5644,38563,31.2,48.4,79.6,2022
5645,41269,28.4,41.1,72.3,2022
5646,42095,14.7,26.0,42.7,2022
5647,42186,15.8,28.4,44.3,2022
5648,42187,21.9,22.6,46.0,2022
5649,42207,20.2,29.8,53.0,2022
5650,42279,28.0,43.5,71.5,2022
5651,44047,17.9,59.9,77.8,2022
5652,44055,30.1,51.1,85.8,2022
5653,44069,20.4,65.0,98.1,2022
5654,44154,23.0,73.2,97.5,2022
5655,44215,26.2,52.8,79.1,2022
5656,45075,25.1,39.3,64.4,2022
5657,45147,16.5,27.6,44.1,2022
5658,45234,27.1,21.9,51.8,2022
5659,45284,23.1,29.8,52.9,2022
5660,45285,22.0,36.8,64.0,2022
5661,47157,31.9,40.6,73.9,2022
5662,49015,25.6,56.5,85.8,2022
5663,49018,20.9,27.4,52.4,2022
5664,49099,21.7,39.0,70.5,2022
5665,49218,9.4,39.1,57.1,2022
5666,49301,7.7,49.7,63.1,2022
5667,49307,14.4,51.1,69.9,2022
5668,50025,20.9,42.2,79.1,2022
5669,50041,7.0,65.6,77.1,2022
5670,50099,9.6,56.4,75.6,2022
5671,50502,24.9,45.3,79.9,2022
5672,51230,35.1,27.3,66.7,2022
5673,51454,30.9,20.1,55.9,2022
5674,53130,27.1,34.4,69.1,2022
5675,53147,31.8,50.0,93.4,2022
5676,54323,19.6,12.5,37.2,2022
5677,54329,20.0,34.3,62.8,2022
5678,54431,12.7,33.0,52.1,2022
5679,55029,38.5,35.9,85.4,2022
5680,56083,13.3,38.5,65.4,2022
5681,56098,18.5,39.9,69.2,2022
5682,56121,21.2,32.8,70.3,2022
5683,56162,38.6,42.8,92.0,2022
5684,56178,10.1,32.4,53.5,2022
5685,56206,13.9,54.9,84.8,2022
5686,56260,34.9,26.0,77.5,2022
5687,57227,6.5,13.7,25.8,2022
5688,57240,0.0,20.8,23.4,2022
5689,57433,10.9,41.3,52.2,2022
5690,57630,15.9,39.1,59.1,2022
5691,57660,18.5,17.6,44.9,2022
5692,59017,17.2,27.5,55.9,2022
5693,59043,22.4,47.5,81.9,2022
5694,59286,18.5,40.3,66.2,2022
5695,59291,5.7,17.8,35.1,2022
5696,59299,33.0,32.0,74.6,2022
5697,59324,4.6,16.6,36.3,2022
5698,59350,35.7,23.7,67.4,2022
5699,59491,12.8,22.9,48.0,2022
5700,59507,22.9,28.9,54.5,2022
5701,59544,45.0,35.4,88.6,2022
5702,59560,40.0,31.6,82.0,2022
5703,59636,24.5,49.7,80.2,2022
5704,60057,26.5,17.4,47.7,2022
5705,60139,14.0,55.0,69.4,2022
5706,60471,21.5,15.3,44.3,2022
5707,60612,35.9,41.1,77.3,2022
5708,61169,18.0,26.4,52.4,2022
5709,62193,19.0,18.2,50.5,2022
5710,62250,25.0,27.9,65.4,2022
5711,62413,6.7,29.9,47.7,2022
5712,62427,17.6,22.7,45.9,2022
5713,62498,16.1,14.4,44.3,2022
5714,62548,15.1,27.4,51.1,2022
5715,62758,20.6,25.7,61.4,2022
5716,63014,45.4,50.9,101.8,2022
5717,63032,25.3,48.4,73.3,2022
5718,63075,44.2,24.6,70.4,2022
5719,64122,51.4,25.8,82.7,2022
5720,64422,45.1,28.4,85.8,2022
5721,64445,23.5,27.4,53.6,2022
5722,64483,35.5,35.5,88.3,2022
5723,64545,33.6,23.2,58.2,2022
5724,66008,31.4,26.5,57.8,2022
5725,66171,29.7,39.1,73.4,2022
5726,67043,34.7,14.9,54.4,2022
5727,67046,63.0,14.9,77.9,2022
5728,67180,45.2,24.4,69.6,2022
5729,67204,43.9,29.8,73.4,2022
5730,67348,51.0,27.4,80.1,2022
5731,67365,44.6,25.9,70.7,2022
5732,67437,39.7,23.9,68.1,2022
5733,67482,43.5,15.5,62.6,2022
5734,68112,25.2,17.0,42.2,2022
5735,68154,18.1,13.2,34.1,2022
5736,68224,28.5,9.0,43.1,2022
5737,68376,22.8,29.1,52.0,2022
5738,69027,26.3,37.1,66.2,2022
5739,69089,48.4,27.6,76.0,2022
5740,69149,24.0,33.9,59.9,2022
5741,69244,26.2,29.4,56.0,2022
5742,69266,22.4,31.3,60.2,2022
5743,69273,27.7,40.8,68.5,2022
5744,69382,51.2,33.9,85.9,2022
5745,71014,30.0,32.7,72.3,2022
5746,71076,29.0,20.7,55.7,2022
5747,71270,23.9,20.6,47.8,2022
5748,72154,25.6,53.2,84.6,2022
5749,72264,12.7,41.0,59.3,2022
5750,74010,32.9,27.6,61.4,2022
5751,74081,15.2,18.0,40.3,2022
5752,74133,33.6,31.3,70.4,2022
5753,74225,27.4,30.1,57.5,2022
5754,74243,15.9,20.9,36.7,2022
5755,74256,22.7,31.0,53.6,2022
5756,75101,86.1,25.5,113.6,2022
5757,75103,76.1,23.7,100.7,2022
5758,75106,72.4,22.5,99.4,2022
5759,75107,56.6,23.6,84.4,2022
5760,75111,62.0,16.1,79.4,2022
5761,75112,71.2,18.1,89.7,2022
5762,75114,56.2,13.4,70.5,2022
5763,75116,40.0,27.0,69.8,2022
5764,75119,59.4,13.2,74.5,2022
5765,75120,59.2,12.2,72.8,2022
5766,76057,20.2,56.5,76.7,2022
5767,76216,15.0,50.9,67.1,2022
5768,76231,12.4,18.3,34.8,2022
5769,76322,17.6,46.5,66.1,2022
5770,76351,19.5,30.2,51.8,2022
5771,76410,18.6,45.7,66.5,2022
5772,76476,9.0,39.9,48.9,2022
5773,77058,33.3,21.3,55.9,2022
5774,77108,17.3,24.3,43.9,2022
5775,77118,7.7,35.2,42.9,2022
5776,77122,19.7,36.5,58.4,2022
5777,77131,40.4,32.1,74.9,2022
5778,77152,26.0,29.6,55.6,2022
5779,77288,20.5,14.9,36.2,2022
5780,77294,10.3,31.3,41.6,2022
5781,77307,23.1,25.2,48.3,2022
5782,77350,30.3,32.4,63.1,2022
5783,77373,13.6,36.6,51.4,2022
5784,77407,21.1,36.1,57.7,2022
5785,77468,31.9,22.6,55.8,2022
5786,77514,12.1,32.7,44.9,2022
5787,78015,13.5,38.6,53.8,2022
5788,78029,20.8,18.1,39.0,2022
5789,78073,43.4,28.6,71.8,2022
5790,78123,26.2,21.6,49.5,2022
5791,78146,47.0,31.6,79.7,2022
5792,78158,55.6,19.3,74.9,2022
5793,78208,29.2,31.5,61.8,2022
5794,78242,34.5,30.7,65.1,2022
5795,78311,34.7,37.6,72.3,2022
5796,78358,54.1,23.3,77.4,2022
5797,78423,42.0,27.8,70.2,2022
5798,78481,39.9,31.9,72.7,2022
5799,78545,35.6,20.0,55.7,2022
5800,78586,31.5,30.6,64.6,2022
5801,78621,14.5,15.4,34.6,2022
5802,78643,26.5,24.9,54.2,2022
5803,78650,43.5,22.8,71.7,2022
5804,78674,35.2,33.8,69.0,2022
5805,78688,39.9,33.7,73.3,2022
5806,79049,13.1,45.0,60.0,2022
5807,80001,14.3,44.4,67.7,2022
5808,80021,27.7,24.5,60.6,2022
5809,81140,44.9,47.7,96.1,2022
5810,82112,14.5,18.2,39.3,2022
5811,83023,16.1,21.7,37.8,2022
5812,83042,30.7,23.2,54.1,2022
5813,83061,24.6,19.3,45.6,2022
5814,83069,30.5,25.5,56.8,2022
5815,83107,28.5,43.9,72.4,2022
5816,83115,37.9,16.6,54.5,2022
5817,83116,36.4,40.3,77.2,2022
5818,83123,51.5,38.0,89.5,2022
5819,83144,28.7,29.7,59.2,2022
5820,84092,14.7,20.7,35.6,2022
5821,85047,16.7,78.7,104.0,2022
5822,85226,21.4,90.1,117.6,2022
5823,86041,12.6,47.7,60.3,2022
5824,87154,14.6,42.2,56.8,2022
5825,88160,28.0,31.3,67.2,2022
5826,88413,25.8,30.3,65.2,2022
5827,89387,28.3,19.5,47.8,2022
5828,91114,26.1,26.1,54.2,2022
5829,91161,22.7,22.7,45.3,2022
5830,91174,13.1,14.8,30.7,2022
5831,91200,24.3,37.4,66.1,2022
5832,91216,27.6,29.7,57.3,2022
5833,91223,18.9,19.9,40.3,2022
5834,91272,45.2,36.2,82.6,2022
5835,91326,18.1,17.8,35.9,2022
5836,91345,27.2,28.6,56.2,2022
5837,91377,40.5,28.9,70.5,2022
5838,91432,25.4,35.5,61.2,2022
5839,91471,59.2,28.4,89.1,2022
5840,91589,17.8,36.2,55.0,2022
5841,91661,66.9,21.7,88.9,2022
5842,92022,38.0,27.7,66.5,2022
5843,92023,50.8,23.7,76.4,2022
5844,92025,38.5,23.5,63.6,2022
5845,92035,66.5,18.4,85.5,2022
5846,92036,33.3,12.1,53.8,2022
5847,92046,37.0,27.4,64.7,2022
5848,92049,66.0,20.5,86.5,2022
5849,92050,35.6,21.2,59.8,2022
5850,92071,59.6,23.5,83.1,2022
5851,92073,46.1,32.3,80.3,2022
5852,93006,25.9,15.5,43.6,2022
5853,93007,12.3,5.6,18.3,2022
5854,93032,20.9,19.4,40.3,2022
5855,93051,24.4,19.9,46.2,2022
5856,93055,25.2,15.7,43.2,2022
5857,93063,26.4,24.0,50.4,2022
5858,93064,24.6,17.0,41.8,2022
5859,93066,21.5,11.3,35.7,2022
5860,93070,25.7,23.8,51.6,2022
5861,93072,20.3,6.8,28.5,2022
5862,94011,23.7,16.3,48.9,2022
5863,94015,51.4,18.7,73.7,2022
5864,94017,22.2,19.0,44.0,2022
5865,94018,49.3,25.2,74.5,2022
5866,94021,38.3,21.2,60.0,2022
5867,94022,24.0,18.2,44.0,2022
5868,94033,32.4,30.7,66.1,2022
5869,94038,31.0,20.9,53.3,2022
5870,94052,38.4,22.6,62.2,2022
5871,94060,8.0,17.1,25.1,2022
5872,94067,52.3,27.3,83.7,2022
5873,94073,36.2,16.3,53.7,2022
5874,94076,34.8,17.1,55.1,2022
5875,94078,12.1,8.8,21.7,2022
5876,94080,58.4,28.6,87.2,2022
5877,94081,21.8,8.6,31.6,2022
5878,95203,30.2,27.2,57.4,2022
5879,95218,16.0,26.2,42.2,2022
5880,95219,21.2,27.7,48.9,2022
5881,95277,21.7,9.2,32.9,2022
5882,95306,19.9,33.3,53.2,2022
5883,95323,18.6,29.7,48.4,2022
5884,95427,12.3,19.7,32.1,2022
5885,95500,23.5,19.4,44.2,2022
5886,95585,13.8,10.2,33.2,2022
5887,95680,11.4,8.6,22.1,2022
5888,97113,30.7,18.1,57.1,2022
5889,97117,18.5,12.7,37.1,2022
5890,97118,10.2,16.7,30.9,2022
5891,97128,14.7,15.6,33.4,2022
5892,97207,14.0,28.8,48.7,2022
5893,97213,54.4,13.0,71.4,2022
5894,97224,40.8,9.6,66.4,2022
5895,97302,14.3,3.4,17.7,2022
5896,97304,17.2,5.7,22.8,2022
5897,97305,11.7,3.4,15.2,2022
5898,97306,1.2,0.4,4.0,2022
5899,97353,0.0,1.0,1.0,2022
5900,97401,17.1,28.4,49.1,2022
5901,97409,23.8,7.1,33.7,2022
5902,97422,12.3,16.8,29.8,2022
5903,97701,0.0,34.2,39.2,2022
5904,97801,7.5,8.1,26.3,2022
