,codgeo,taux_accueil_collectif,taux_accueil_individuel,taux_accueil_total,annee
394,59526,23.9,45.6,77.3,2022
395,59569,12.5,25.7,46.7,2022
396,59616,8.1,19.3,37.9,2022
397,59650,16.2,29.3,54.0,2022
398,60157,20.6,32.7,58.2,2022
399,60176,24.4,44.7,72.1,2022
400,60395,16.9,32.4,55.7,2022
401,61001,23.8,29.6,64.0,2022
402,62048,7.8,16.9,38.1,2022
403,62108,58.3,22.3,94.3,2022
404,62119,13.7,24.1,47.7,2022
405,62160,20.3,9.9,40.0,2022
406,62178,9.9,18.5,36.9,2022
407,62215,13.7,38.7,55.0,2022
408,62525,19.8,42.8,73.5,2022
409,62570,9.4,27.7,42.2,2022
410,63124,18.7,38.3,59.3,2022
411,63164,14.0,58.7,72.7,2022
412,64260,18.7,17.9,40.2,2022
413,64348,19.2,56.5,76.2,2022
414,65286,42.9,19.3,77.4,2022
415,65440,31.6,16.3,55.6,2022
416,66180,26.9,29.7,56.6,2022
417,67067,43.1,38.0,81.0,2022
418,68063,22.0,35.2,58.9,2022
419,68066,37.9,17.1,56.5,2022
420,68166,15.5,26.4,41.9,2022
421,68271,24.7,21.3,46.3,2022
422,68278,32.5,27.1,62.2,2022
423,68375,17.4,37.2,54.6,2022
424,69243,21.3,20.8,51.1,2022
425,69264,20.7,17.4,46.3,2022
426,69029,24.6,16.1,43.8,2022
427,69081,34.7,32.4,69.4,2022
428,69256,16.6,12.7,36.4,2022
429,69271,24.0,39.3,63.3,2022
430,69275,21.3,26.7,50.8,2022
431,69282,23.1,28.2,55.0,2022
432,69283,19.4,48.8,68.2,2022
433,69290,27.6,24.3,52.6,2022
434,69383,46.9,30.1,77.6,2022
435,69384,45.3,37.7,83.6,2022
436,69385,37.4,26.2,66.0,2022
437,69389,30.6,23.6,60.2,2022
438,70285,12.5,36.4,53.1,2022
439,72003,5.5,42.7,61.4,2022
440,73011,13.8,29.5,47.3,2022
441,73065,20.3,26.7,49.7,2022
442,73179,20.6,56.2,80.0,2022
443,74012,10.4,19.7,32.0,2022
444,74042,15.8,38.2,54.0,2022
445,74208,30.8,47.7,78.5,2022
446,74281,15.0,30.5,45.5,2022
447,75104,65.4,13.6,81.6,2022
448,75110,64.1,21.8,86.6,2022
449,75113,66.4,10.9,77.9,2022
450,75117,45.8,28.4,74.8,2022
451,75118,56.3,17.8,75.0,2022
452,76108,68.6,32.9,101.7,2022
453,76114,11.4,40.0,55.9,2022
454,76157,33.9,26.6,64.3,2022
455,76259,28.5,30.4,63.9,2022
456,76498,18.1,31.9,52.9,2022
457,76540,37.2,26.1,64.0,2022
458,76575,12.1,31.3,49.1,2022
459,76681,20.1,35.3,56.4,2022
460,76758,24.7,65.1,92.8,2022
461,77053,21.1,34.1,56.8,2022
462,77067,48.4,31.8,80.8,2022
463,77083,28.1,18.8,46.9,2022
464,77186,36.3,27.7,65.6,2022
465,77243,16.1,37.2,53.5,2022
466,77251,17.0,33.8,50.8,2022
467,77284,22.3,17.9,41.0,2022
468,77296,19.9,33.4,55.8,2022
469,77305,11.9,15.3,29.2,2022
470,77316,48.1,43.6,91.4,2022
471,77333,2.8,33.3,37.3,2022
472,77337,32.2,15.9,51.0,2022
473,77379,25.2,16.5,50.2,2022
474,77390,19.9,28.2,50.0,2022
475,77445,17.7,24.4,45.1,2022
476,77479,24.5,24.3,48.8,2022
477,78138,20.7,18.5,39.2,2022
478,78165,31.1,26.3,59.8,2022
479,78297,37.0,25.8,75.6,2022
480,78335,17.7,18.8,36.5,2022
481,78361,19.3,6.8,28.6,2022
482,78362,16.0,19.3,35.3,2022
483,78418,51.5,35.1,86.7,2022
484,78498,35.3,15.6,51.3,2022
485,78551,51.6,22.6,75.2,2022
486,78642,18.8,37.5,56.2,2022
487,78686,42.3,26.0,68.3,2022
488,79191,28.8,40.3,74.2,2022
489,79202,34.3,38.6,74.8,2022
490,81004,39.8,21.0,63.7,2022
491,81065,29.3,17.5,51.9,2022
492,81105,21.0,18.8,46.0,2022
493,82033,23.3,26.2,50.7,2022
494,82121,29.7,26.0,60.2,2022
495,83047,21.2,38.9,60.1,2022
496,83049,15.8,32.0,48.0,2022
497,83050,18.5,24.4,44.0,2022
498,83062,38.3,24.3,63.0,2022
499,83073,22.6,20.9,43.5,2022
500,83090,38.4,36.3,75.5,2022
501,83118,31.5,18.7,52.0,2022
502,83129,40.1,30.7,71.3,2022
503,83130,26.9,44.2,72.5,2022
504,83137,21.9,18.8,44.7,2022
505,84003,30.4,27.4,71.9,2022
506,84007,24.8,10.0,36.7,2022
507,84035,25.4,14.5,39.9,2022
508,84054,22.1,29.9,52.0,2022
509,84080,19.5,30.8,50.3,2022
510,84088,30.4,45.8,75.9,2022
511,84089,20.5,34.9,56.6,2022
512,84141,26.7,41.4,68.4,2022
513,85109,24.0,64.0,96.2,2022
514,85191,31.2,38.0,76.2,2022
