DEPCOM_ARM,LIBCOM_DEP,LIBCOM,nb_loues,nb_vacants,nb_vides,nb_asso,nb_occup_finan,nb_occup_temp,nb_ls
73241,Sainte-Hélène-sur-Isère (73),Sainte-Hélène-sur-Isère,83,0,0,0,0,0,83
73243,Saint-Jean-d'Arvey (73),Saint-Jean-d'Arvey,76,0,0,0,0,0,76
73245,Saint-Jean-de-Chevelu (73),Saint-Jean-de-Chevelu,19,0,0,0,0,0,19
73246,Saint-Jean-de-Couz (73),Saint-Jean-de-Couz,,,,,,,6
73247,Saint-Jean-de-la-Porte (73),Saint-Jean-de-la-Porte,24,1,0,0,0,0,25
73248,Saint-Jean-de-Maurienne (73),Saint-Jean-de-Maurienne,963,22,47,28,23,0,1083
73249,Saint-Jeoire-Prieuré (73),Saint-Jeoire-Prieuré,84,0,0,0,0,0,84
73250,Saint-Julien-Mont-Denis (73),Saint-Julien-Mont-Denis,53,10,0,1,0,0,64
73252,Saint-Léger (73),Saint-Léger,,,,,,,3
73253,Saint-Marcel (73),Saint-Marcel,61,5,0,0,4,0,70
73254,Sainte-Marie-d'Alvey (73),Sainte-Marie-d'Alvey,,,,,,,2
73255,Sainte-Marie-de-Cuines (73),Sainte-Marie-de-Cuines,12,0,0,0,0,0,12
73256,Saint-Martin-d'Arc (73),Saint-Martin-d'Arc,,,,,,,1
73257,Les Belleville (73),Les Belleville,231,4,0,0,28,0,263
73261,Saint-Michel-de-Maurienne (73),Saint-Michel-de-Maurienne,148,17,49,13,23,0,250
73262,Saint-Nicolas-la-Chapelle (73),Saint-Nicolas-la-Chapelle,,,,,,,5
73265,Saint-Ours (73),Saint-Ours,,,,,,,4
73268,Saint-Paul-sur-Isère (73),Saint-Paul-sur-Isère,11,1,0,0,0,0,12
73269,Saint-Paul (73),Saint-Paul,,,,,,,6
73270,Saint-Pierre-d'Albigny (73),Saint-Pierre-d'Albigny,306,3,0,7,7,0,323
73272,Saint-Pierre-de-Belleville (73),Saint-Pierre-de-Belleville,,,,,,,7
73273,Saint-Pierre-de-Curtille (73),Saint-Pierre-de-Curtille,,,,,,,10
73276,Saint-Pierre-de-Soucy (73),Saint-Pierre-de-Soucy,,,,,,,7
73278,Saint-Rémy-de-Maurienne (73),Saint-Rémy-de-Maurienne,61,1,0,0,0,0,62
73280,Saint-Sorlin-d'Arves (73),Saint-Sorlin-d'Arves,11,0,0,0,0,0,11
73282,Saint-Thibaud-de-Couz (73),Saint-Thibaud-de-Couz,14,0,0,0,0,0,14
73283,Saint-Vital (73),Saint-Vital,32,0,0,0,0,0,32
73284,Salins-Fontaine (73),Salins-Fontaine,26,0,0,0,0,0,26
73285,Séez (73),Séez,81,1,0,1,0,0,83
